funlo_rollup_desc,EMAIL_THEME,DEPARTMENT,Unique Guids,Unique Households,THEME_SENT,THEME_OPEN,THEME_CLICK,THEME_UNSUBSCRIBE,theme_open_rate,theme_click_rate,DEPT_SENT,DEPT_OPEN,DEPT_CLICK,DEPT_UNSUBSCRIBE,dept_open_rate,dept_click_rate
New Households,Sale - Digital Coupon,Gift Cards,42110,39819,4432931,2415621,273747,4645,0.5449263703856433,0.061753047814188854,2344621,1272644,65084,497,0.5427930569588859,0.027758857401686668
Loyal,Digital Coupons,Fresh,5798693,4975693,8322621040,4712136909,631645167,1878944,0.566184244885431,0.07589498115608061,4709482084,2117329161,121435667,1721067,0.4495885371755456,0.025785354914623346
New Households,Best Customer,HBC,1183005,1146194,355248553,160666512,7212500,349692,0.45226507087278695,0.020302686496797638,67484244,27790171,1280921,42653,0.41180236085922517,0.018981038003478265
Loyal,Services,Produce,5310023,4585838,74453535,28977018,1990296,20726,0.3891959998944308,0.026732055099868663,552728260,278667967,34430141,247815,0.504168118706288,0.06229126225606774
Loyal,Sale - Fuel,No Department,5223966,4562851,236031050,108185038,15325998,158724,0.45835087375156786,0.06493212651471067,108208718,48809567,3607776,24897,0.45106871148773797,0.03334089957520798
Loyal,Best Customer,No Department,5716781,4903674,3350555151,1491591515,238267625,2592679,0.44517742516634073,0.07111287958620444,3006846700,1337783129,112600922,760569,0.44491231594879777,0.037448175192968766
Loyal,Sale - Price & Item,HBC,5772539,4971651,3813444629,1905881232,106013890,1064986,0.4997794428445076,0.027800033909971846,3681075531,1237449537,95866111,2265459,0.33616521219922774,0.0260429622246727
Loyal,Services,Multi Department,6015828,5103692,3975343766,1463771173,118898117,2529958,0.36821247649554845,0.02990888939389399,30604798732,15088419567,1812824081,6730841,0.4930082925598114,0.05923332797822106
Opportunity,Sale - Digital Coupon,Gift Cards,707938,643745,86274979,49349897,7612625,55293,0.5720070589643378,0.08823676445055988,31169174,17047271,1603301,4478,0.5469272621725555,0.05143867463411125
New Households,Best Customer,Fuel,410484,396447,10404709,4646449,277829,6556,0.44657173977667225,0.026702236458511237,5312931,2432747,246053,3779,0.4578916985746662,0.046312101549973075
Opportunity,Sale - Prie,Multi Department,3898023,3570456,72548838,33081514,3456085,56145,0.4559895776690455,0.047638047627999225,214884403,103480735,8541495,42709,0.4815646624664518,0.03974925532403578
Non-Loyal,Digital Coupons,No Department,7430991,6886644,8960241155,4579231033,228200094,3726696,0.5110611370593183,0.02546807502749629,4700268176,1788574079,67915683,3373177,0.3805259640572474,0.014449320859346644
Non-Loyal,Sale - Fuel Points,HBC,6613477,6198852,3141162422,1136778186,54305003,2927796,0.3618972957393924,0.017288186888923633,4444308439,1676508555,68020127,2622738,0.37722596845173645,0.015304996926654577
New Households,Digital Coupons,Adult Beverage,1808614,1758193,59730406,29236794,838231,20876,0.4894792444571698,0.014033572783684075,235689528,95832995,2131733,103593,0.40660692824672295,0.009044665743486066
Loyal,Best Customer,Produce,2616828,2600983,35565030,20559106,7236268,7106,0.5780708184415984,0.20346582021721898,218708609,116716199,19794213,68845,0.5336607440084812,0.09050495584286762
Loyal,Sale - Price & Item,Multi Department,6016671,5104681,4474979057,2148535525,129983202,2035034,0.48012191736163473,0.029046661524968116,30936293507,15251042654,1832714525,6796024,0.4929822200758835,0.059241567661792095
New Households,Sale - Price & Item,Produce,3145609,3054335,20704685,8134539,191327,16969,0.39288397770842687,0.009240758794446764,135071432,58460839,1850565,135035,0.4328142386170897,0.01370063952531428
Opportunity,Digital Coupons,Produce,4149919,3753396,195524952,104067392,9270315,62003,0.5322460940944254,0.04741243971766836,428621579,196275424,16312654,261964,0.45792240432206516,0.03805840582748635
Non-Loyal,Sale - Digital Coupon,Multi Department,6049404,5705477,682539761,292601146,18561596,620826,0.42869465299912396,0.027194893338968424,1918874401,892161765,39971056,523919,0.4649401568623042,0.020830470185630456
Opportunity,Sale - Prie,Fresh,3458209,3209314,65395839,30302424,3231423,46611,0.4633692978539506,0.049413281478046335,28234743,12272125,372960,8416,0.43464624416804504,0.013209257828201234
Loyal,Sale - Price & Item,Fresh,5797731,4986993,3997165359,1977995934,110708813,1283551,0.49484966378645134,0.027696830893104915,4695189795,2122562654,124113008,1542076,0.45207174718695264,0.02643407687846195
Loyal,Weekly Specials,Fresh,6009184,5100485,15780298704,7098129769,925802411,3746788,0.44980959499839895,0.05866824376178171,5055745231,2233437325,141096143,2202107,0.44176223740574794,0.0279080801253294
Non-Loyal,Seasonal,Multi Department,7717328,7122625,6033776047,2236593871,52916130,4793822,0.3706789667992462,0.008769985758140619,34434108812,14728917601,634731196,13566807,0.4277420879807145,0.01843321107758135
New Households,Ecommerce,No Department,3278221,3167645,1469862511,568163150,19167066,1781964,0.3865416974363529,0.013040040042221337,539823846,208968585,6322424,392948,0.38710513910865657,0.011712013181425854
New Households,Brand Savings,Produce,643127,612001,2337449,1151660,41841,1138,0.492699519861182,0.017900283599770517,32890563,17899763,784605,21179,0.5442218486804254,0.02385501883929442
Non-Loyal,Sale - Digital Coupon,Grocery,4254067,4032945,465398224,224068497,15270228,432545,0.4814554191337009,0.03281110071447114,77282352,36268330,1312287,20494,0.4692964054717175,0.016980422645521968
Opportunity,Digital Coupons,General Merchandise,4369919,3922515,5943254405,3202306029,291620460,1753607,0.5388135541204382,0.04906747046780677,3336662713,1332082832,93402916,2882818,0.39922609702504863,0.027992915087309275
Opportunity,Savings - Fuel Points,HBC,2987850,2758883,137399120,60893627,6470359,116468,0.4431878966910414,0.04709170626420315,18064599,8206778,220357,5061,0.4543016980338174,0.012198277968971246
Loyal,Sale - Threshold Offer,Adult Beverage,5099503,4529104,179807061,100214876,4049686,32069,0.5573467217730677,0.022522396937459537,634192690,320823092,40156906,207012,0.5058763638540205,0.0633197238523831
Opportunity,Weekly Specials,Fresh,4452918,3977545,11484793919,4801610018,438285022,3518804,0.41808412513666454,0.038162201698274986,3360641292,1353493586,68518624,2051288,0.4027486031377371,0.020388556244639512
Non-Loyal,Seasonal,Pharmacy,6987829,6541168,1628591928,606283631,8760148,711003,0.3722747365845964,0.005378970538530141,4791273367,1751021004,65461181,3326116,0.36546046736973836,0.01366258528491931
New Households,Ecommerce,Grocery,2935196,2835072,1664027458,678914199,21628160,1749269,0.4079945891133246,0.012997477833686084,857224511,316750972,10849812,609929,0.36950760032572144,0.01265690826705724
Non-Loyal,Weekly Specials,Grocery,7707745,7115290,19665406887,7677849811,370091045,8192178,0.39042415217330256,0.01881939423509473,5089963875,1892343488,74291270,4832974,0.37177935531025746,0.014595637970023903
New Households,Diigital Coupons,HBC,315632,306475,6496112,3001231,131022,4923,0.4620041957404675,0.02016929511067543,711347,308986,6291,225,0.43436747466426373,0.00884378510066114
New Households,Sale - Digital Coupon,No Department,1109677,1076658,119241664,45853640,1803965,126196,0.3845437782552246,0.015128646644850578,36932498,14918623,310380,19359,0.40394297185096983,0.008403980689310536
Non-Loyal,Services,Fuel,6272496,5852346,194065445,70083628,2708807,135182,0.36113398755765097,0.013958213941693741,754554305,323849351,15306785,437125,0.42919290083435413,0.020285862659016968
New Households,Seasonal,Multi Department,4051907,3894272,3572130456,1308953445,31136802,3378319,0.3664349499894077,0.008716591508493328,9381555613,3674165183,101032484,5591929,0.3916370945889526,0.010769267717178963
New Households,Seasonal,Produce,2764592,2677064,21645781,8010809,112825,16657,0.3700863923551661,0.005212332139921401,122474631,50117262,1655043,115749,0.4092052500243908,0.013513353634843774
Opportunity,Sale - Price & Item,Fuel,4214987,3815002,282961433,134948856,5873641,89485,0.4769160749903327,0.020757744042100606,691853347,270075333,22390693,452560,0.3903650017320795,0.032363351419907205
Opportunity,Digital Coupons,Adult Beverage,3819236,3509182,238590608,133804348,12385525,44636,0.5608114632911284,0.05191120096395412,466230185,216255048,18467604,194987,0.4638375097914349,0.03961048553731029
New Households,Sale - Digital Coupon,Pharmacy,61499,58269,2353861,1327058,107405,2460,0.5637792545948975,0.045629287370834555,689993,370061,10705,193,0.5363257308407476,0.015514650148624696
Opportunity,Digital Coupons, Fresh,3730303,3433327,193506196,111729696,10712841,46341,0.5773959610058171,0.05536174665952299,560179184,256710021,21570758,282305,0.45826412036045955,0.03850688960980742
Non-Loyal,Ecommerce,Fresh,7056288,6570381,4422480992,1612017840,58153761,5204162,0.3645053179235914,0.013149578506995649,3855126712,1451445339,42391230,2030164,0.3764974402740202,0.010996066580132684
Loyal,Best Customer,Gift Cards,4461283,3934011,1555444655,836465793,181538854,808468,0.5377663488772605,0.1167118697643408,2771860452,1350328392,172470822,1020011,0.48715597894752893,0.06222204363699331
Opportunity,Best Customer ,Grocery,3736069,3427323,83683673,35357786,3696675,78918,0.4225171378412131,0.04417438751762246,31276543,15146529,854784,9386,0.4842775942341198,0.027329874660380466
Opportunity,Ecommerce,Adult Beverage,3663105,3392612,47196505,19758394,561735,13584,0.41864104132286917,0.011902046560439168,400250777,193617789,17125648,129227,0.4837411945861132,0.04278729482641329
Loyal,Sale - Price & Item,Grocery,5809815,4992055,4009609565,1983930934,111789500,1326064,0.4947940446166608,0.027880395382087534,5417377716,2601263745,200510199,1527620,0.48017027450703237,0.037012408864864906
New Households,Holiday,Adult Beverage,913079,885300,13455680,4856121,57713,4958,0.3608974797260339,0.0042891180527479845,77129713,31420627,837203,40205,0.4073738352948364,0.01085448094432816
New Households,Brand Savings,Grocery,2788779,2697258,1884709349,746583600,23868035,1902956,0.39612664965880634,0.012664040220665345,475617863,194986065,6630157,314387,0.4099637128221149,0.013940092489755794
Opportunity,Brand Savings,No Department,4222263,3798441,3383800580,1139757795,72794887,2560969,0.33682770838699955,0.02151275918275302,3446294363,1444814646,90140956,1139314,0.41923715556969676,0.026155907332748057
Loyal,Ecommerce,Fuel,5455031,4734814,233901955,106147563,4678915,72789,0.4538122094789674,0.020003744731419623,781901694,336961084,44134466,378393,0.43095070209682906,0.05644503182263217
New Households,Sale - Prie,Multi Department,2203525,2139288,44219742,16748480,468643,35304,0.37875571503786704,0.01059804916998385,83619614,33469333,761675,33063,0.4002569660271333,0.009108807892846767
Loyal,Savings - Fuel Points,Multi Department,5758538,4939926,254042690,111774041,16414024,207257,0.43998133148409035,0.0646112824580782,671091470,312015038,38726686,151999,0.4649366769629779,0.05770701570681565
New Households,Sale - Prie,Gift Cards,32531,30324,715430,399470,45902,635,0.5583635016703241,0.06416001565492081,164311,84099,7012,25,0.511828179488896,0.042675170865005996
Non-Loyal,Best Customer ,No Department,6517723,6135146,145269222,56716496,3308761,159711,0.3904233478995296,0.022776751705877517,45557624,17405402,705450,20887,0.3820524529549653,0.01548478472011622
