funlo_rollup_desc,EMAIL_THEME,DEPARTMENT,Unique Guids,Unique Households,THEME_SENT,THEME_OPEN,THEME_CLICK,THEME_UNSUBSCRIBE,theme_open_rate,theme_click_rate,DEPT_SENT,DEPT_OPEN,DEPT_CLICK,DEPT_UNSUBSCRIBE,dept_open_rate,dept_click_rate
New Households,Seasonal,Adult Beverage,1007015,976094,16779386,5613157,52603,6908,0.33452696064087206,0.0031349776445931932,122219047,48418836,1263548,60301,0.39616440471835784,0.010338388581936824
Opportunity,Best Customer,Fuel,3159996,2939035,98766025,49967205,6439536,47736,0.5059149135545346,0.0651999105967867,101625795,47325670,7352343,53338,0.4656856066907029,0.07234721263435134
New Households,Sale - Digital Coupon,Grocery,569778,552024,57826842,26182188,1151713,71106,0.45276876783276526,0.019916581299736204,7489167,3315453,109227,3575,0.4426998356426022,0.014584666091702855
New Households,Sale - Threshold Offer,Adult Beverage,947863,919893,11790403,5609509,80512,5119,0.4757690640430187,0.006828604586289374,93434725,40999313,1109702,48067,0.4388016660829258,0.011876762092466157
Loyal,Sale - Price & Item,Gift Cards,5762436,4964055,3303502374,1672129181,93100822,872826,0.5061686028017972,0.028182459541347373,9505403959,4182731238,400979617,4582773,0.4400371889549907,0.04218438466471912
Non-Loyal,Best Customer,HBC,5783311,5425163,3363880214,1502622303,80531438,3021289,0.4466931660486291,0.023940043306191282,751899778,308233366,18306418,393819,0.40993942945412065,0.024346885762745896
Loyal,Savings - Fuel Points,Gift Cards,2251010,1939035,109275845,55685794,9471411,61517,0.5095892326433166,0.0866743331977895,21959501,10330519,948368,3125,0.47043505223547655,0.04318713799553096
New Households,Holiday,Produce,1152272,1117212,8151070,2702454,37179,3761,0.3315459197381448,0.004561241652936363,65221332,25341745,786209,43483,0.3885499455914209,0.012054476286991501
Opportunity,Brand Savings,Fresh,4133451,3745636,3186193122,1082890326,67839052,2328528,0.3398696452273617,0.0212915694066331,2688301971,1152695687,49086611,988038,0.4287820711492533,0.018259336759605418
Loyal,Weekly Specials,Produce,5893383,5025706,559550503,250693533,31845342,151995,0.4480266421992654,0.0569123641731406,620635613,299534701,36305909,327416,0.48262570617261696,0.05849794668486096
Loyal,Sale - Price & Item,General Merchandise,5808336,4992079,3951254595,1961306596,107931458,1104425,0.4963756571094858,0.027315743747967726,3652950603,1532465821,152842395,2501078,0.41951452060190914,0.041840805313512204
Non-Loyal,Diigital Coupons,Gift Cards,546830,502720,12251309,7073057,659785,8571,0.5773307162524429,0.053854245289217666,2101759,1127733,70480,374,0.536566276152499,0.03353381619871736
Loyal,Weekly Specials,No Department,6014970,5103542,15781858142,7098798913,925935408,3754191,0.44980754795330996,0.05867087383936263,6170546640,2702694420,234161885,2184631,0.43799918835067747,0.03794832105831065
Loyal,Sale - Digital Coupon,HBC,4021617,3620801,490536081,260238348,38327735,309200,0.5305182596751736,0.0781343849811529,98855546,49853167,2320022,15473,0.5043031880072768,0.02346880973172714
Opportunity,Services,General Merchandise,4283728,3857541,2248121182,765529135,46067252,1399972,0.3405195151975575,0.02049144519825978,2927084676,1191930727,84296697,2015208,0.4072074637173906,0.02879885836278417
Non-Loyal,Sale - Price & Item, Fresh,6228926,5878242,156977975,72521498,2019398,63355,0.4619851797680534,0.012864212320231548,896884597,392616875,17754256,549324,0.43775629140389843,0.019795474311172723
Loyal,Seasonal,No Department,5782502,4958076,4638147403,2016569360,74303711,1794390,0.4347790582713397,0.016020127120569654,5698006395,2525685700,213713054,1625285,0.44325778612959943,0.03750663638909447
Non-Loyal,Sale - Price & Item,HBC,7227124,6739747,3764000880,1634305657,45340283,1724536,0.43419374997595644,0.012045768437758708,8070213154,2887222022,117808425,6609329,0.3577627959639392,0.014597932266709494
Non-Loyal,Weekly Specials,General Merchandise,7704105,7112692,19657388341,7674917762,369794048,8148775,0.39043425448294145,0.018811962280294862,7619172120,2871659667,115970225,7862243,0.37689917247859733,0.015220843311254662
Non-Loyal,Sale - Fuel Points,Grocery,7168781,6688489,5529743324,1908179732,95332689,6249095,0.34507564279126385,0.01723998446478345,3369418167,1407464114,52354436,1758196,0.4177172568797395,0.015538123618124363
Opportunity,Sale - Price & Item,Fresh,4267721,3853406,2782275140,1277597580,56202514,1121309,0.4591916743359896,0.02020019989827462,3014462414,1245078426,57539106,1373451,0.41303498103592545,0.019087684003878246
Opportunity,Services,HBC,4122919,3725168,1917187839,681271114,38937623,1158823,0.3553491734828389,0.020309759016784584,2796693300,932896414,61658746,1867666,0.333571226419429,0.022047017454506004
New Households,Diigital Coupons,Fresh,801949,778414,16074429,6560969,228151,12365,0.4081618700110592,0.014193412406748632,2745535,1056101,18146,1244,0.384661277310251,0.006609276516234541
New Households,Best Customer,Gift Cards,291234,282896,47742874,26695397,2661630,44126,0.5591493507491819,0.055749262183085166,72787228,34871730,2956979,44379,0.4790913317924403,0.04062497063358423
Loyal,Sale - Fuel Points,Fuel,5323434,4653277,199873420,84856985,9529414,74914,0.4245536249892557,0.047677244928315134,741204371,323180969,43293856,316039,0.4360214019838801,0.05841014663956967
New Households,Digital Coupons,Produce,3153118,3042809,58438691,27542118,1045210,41322,0.4712993656890775,0.017885582002512685,157691046,65547930,2087881,150177,0.41567312579054105,0.013240326911142438
Loyal,Diigital Coupons,General Merchandise,4678420,4191531,96429022,47912391,7041023,29158,0.49686691834331786,0.07301767511444843,18448885,8883658,463002,3814,0.48152817907423673,0.025096476020095522
Loyal,Sale - Fuel,General Merchandise,4817800,4293362,189281006,93049524,12793866,120986,0.49159461884939476,0.06759191675048473,26440989,12905130,633258,6898,0.48807289318867764,0.023949860574428588
Non-Loyal,Savings - Fuel Points,No Department,6457653,6073676,286259787,111456929,6550189,299782,0.38935587204918864,0.02288197398819416,80670424,30424631,1369712,39340,0.3771472801481743,0.016979109964762304
Opportunity,Sale - Price & Item,Gift Cards,4229166,3824157,2253853125,1072698638,46836441,721133,0.47593990313809825,0.02078060920673347,8583498475,3699363710,259101364,4840046,0.4309855382131934,0.030185985907104154
Opportunity,Services,Multi Department,4457990,3980398,2843838192,968799371,63444415,2774118,0.3406661369572042,0.022309432083187947,21641084067,9953885549,815174822,6234463,0.45995318525556006,0.03766792917934465
Loyal,Digital Coupons,Gift Cards,5788372,4969501,6944121917,3964496489,532124531,1411758,0.5709140099188728,0.07662949144042225,9585075156,4182339322,400044194,4783898,0.43633870928825924,0.041736156210479276
Loyal,Holiday,No Department,5586674,4817698,2319348511,964150009,44955840,1135786,0.41569863452056255,0.019382960252324062,3792405331,1687638761,141375269,1048787,0.4450048488237398,0.03727852290586288
Loyal,Diigital Coupons,Grocery,4858670,4324064,99443274,49175367,7318948,50742,0.49450671746789027,0.07359922602709158,41301438,20927218,1715965,6282,0.5066946579438711,0.04154734273416824
Non-Loyal,Services,Multi Department,7719146,7123602,6262622111,2010330764,86178389,8094083,0.3210046412458687,0.013760751881968373,34824717157,14893392463,641899083,13719865,0.427667291477379,0.01843228417638344
Loyal,Sale - Prie,Fresh,4850185,4324215,95741880,47357354,7027149,56973,0.4946357226325616,0.0733968144348116,44395029,20961838,820737,10768,0.4721663319557692,0.0184871373774753
