health_dim_seg,EMAIL_THEME,DEPARTMENT,Unique Guids,Unique Households,THEME_SENT,THEME_OPEN,THEME_CLICK,THEME_UNSUBSCRIBE,theme_open_rate,theme_click_rate,DEPT_SENT,DEPT_OPEN,DEPT_CLICK,DEPT_UNSUBSCRIBE,dept_open_rate,dept_click_rate
M,Digital Coupons,General Merchandise,11141019,10031547,14288631313,7716602284,684534196,4631171,0.5400518856539692,0.04790761137333014,8793265007,3529559798,215762741,7828394,0.4013935432618311,0.024537272654496265
H,Diigital Coupons,Fresh,2394791,2265176,47345469,25005279,2743307,44224,0.5281451325363362,0.05794233446076962,21426604,10988774,373024,7376,0.5128565404018294,0.017409385080342177
M,Seasonal,Fresh,10706517,9713142,7625115417,3114717180,74985505,3340059,0.40848131597533827,0.009834015736053218,7015033432,2860336691,118892331,3545278,0.40774384309448863,0.016948220154968465
H,Ecommerce,HBC,2893722,2697006,1286297366,599338176,29905161,1293167,0.4659406073914016,0.02324902607318252,1890824451,804347340,44322425,1500737,0.42539503843130705,0.02344079323522562
L,Brand Savings,Adult Beverage,2254837,1989596,74152982,29200358,2237752,12783,0.39378535039899004,0.030177505201341735,278403461,134595056,14116128,75835,0.48345324270232404,0.050703852420857655
